country_region_code,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
GB,2020-03-30,Monday,,Transit Stations,-93,-67,-67,-34,10,88
GB,2020-03-30,Monday,,Workplaces,-86,-68,-67,-47,4,34
GB,2020-03-30,Monday,,Residential,18,26,26,38,3,12
GB,2020-03-31,Tuesday,,Retail and Recreation,-96,-73,-73,-55,4,28
GB,2020-03-31,Tuesday,,Grocery and Pharmacy,-84,-30,-30,-12,4,41
GB,2020-03-31,Tuesday,,Parks,-92,-15,-17,101,18,422
GB,2020-03-31,Tuesday,,Transit Stations,-93,-66,-66,-25,10,97
GB,2020-03-31,Tuesday,,Workplaces,-86,-68,-68,-47,4,33
GB,2020-03-31,Tuesday,,Residential,18,27,26,39,3,13
GB,2020-04-01,Wednesday,,Retail and Recreation,-96,-75,-75,-58,4,26
GB,2020-04-01,Wednesday,,Grocery and Pharmacy,-85,-33,-33,-16,4,38
GB,2020-04-01,Wednesday,,Parks,-92,-24,-25,61,16,355
GB,2020-04-01,Wednesday,,Transit Stations,-93,-68,-67,-37,10,85
GB,2020-04-01,Wednesday,,Workplaces,-85,-68,-68,-47,4,32
GB,2020-04-01,Wednesday,,Residential,18,28,27,40,3,13
GB,2020-04-02,Thursday,,Retail and Recreation,-97,-75,-74,-58,4,26
GB,2020-04-02,Thursday,,Grocery and Pharmacy,-85,-32,-31,-14,4,38
GB,2020-04-02,Thursday,,Parks,-93,-20,-21,46,19,433
GB,2020-04-02,Thursday,,Transit Stations,-93,-68,-68,-31,10,95
GB,2020-04-02,Thursday,,Workplaces,-86,-69,-68,-48,4,32
GB,2020-04-02,Thursday,,Residential,18,28,28,41,3,13
GB,2020-04-03,Friday,,Retail and Recreation,-97,-76,-76,-57,4,27
GB,2020-04-03,Friday,,Grocery and Pharmacy,-84,-31,-31,-14,4,40
GB,2020-04-03,Friday,,Parks,-92,-17,-20,72,21,550
GB,2020-04-03,Friday,,Transit Stations,-93,-66,-66,-26,10,102
GB,2020-04-03,Friday,,Workplaces,-84,-68,-67,-47,4,30
GB,2020-04-03,Friday,,Residential,19,28,28,41,3,11
GB,2020-04-04,Saturday,,Retail and Recreation,-96,-81,-82,-60,4,22
GB,2020-04-04,Saturday,,Grocery and Pharmacy,-74,-37,-37,-14,6,40
GB,2020-04-04,Saturday,,Parks,-91,-32,-35,62,24,545
GB,2020-04-04,Saturday,,Transit Stations,-93,-66,-66,-19,9,100
GB,2020-04-04,Saturday,,Workplaces,-70,-56,-56,-36,4,20
GB,2020-04-04,Saturday,,Residential,15,19,19,24,1,3
GB,2020-04-05,Sunday,,Retail and Recreation,-95,-82,-83,-64,4,20
GB,2020-04-05,Sunday,,Grocery and Pharmacy,-75,-42,-42,-21,4,32
GB,2020-04-05,Sunday,,Parks,-87,-27,-30,67,21,599
GB,2020-04-05,Sunday,,Transit Stations,-95,-63,-63,-24,12,145
GB,2020-04-05,Sunday,,Workplaces,-69,-53,-53,-37,4,25
GB,2020-04-05,Sunday,,Residential,12,15,14,19,1,2
GB,2020-04-06,Monday,,Retail and Recreation,-96,-72,-72,-53,4,32
GB,2020-04-06,Monday,,Grocery and Pharmacy,-85,-32,-31,-16,4,39
GB,2020-04-06,Monday,,Parks,-92,-16,-18,83,20,453
GB,2020-04-06,Monday,,Transit Stations,-93,-65,-65,-27,10,106
GB,2020-04-06,Monday,,Workplaces,-85,-69,-68,-47,4,33
GB,2020-04-06,Monday,,Residential,18,26,26,38,3,12
GB,2020-04-07,Tuesday,,Retail and Recreation,-97,-73,-72,-53,6,32
GB,2020-04-07,Tuesday,,Grocery and Pharmacy,-84,-29,-29,-13,4,42
GB,2020-04-07,Tuesday,,Parks,-90,-2,-6,137,21,740
GB,2020-04-07,Tuesday,,Transit Stations,-93,-62,-62,-23,13,141
GB,2020-04-07,Tuesday,,Workplaces,-87,-69,-69,-47,6,33
GB,2020-04-07,Tuesday,,Residential,17,27,26,39,3,13
GB,2020-04-08,Wednesday,,Retail and Recreation,-97,-73,-73,-53,6,33
GB,2020-04-08,Wednesday,,Grocery and Pharmacy,-84,-28,-27,-7,6,46
GB,2020-04-08,Wednesday,,Parks,-90,-9,-11,102,22,587
GB,2020-04-08,Wednesday,,Transit Stations,-93,-63,-63,-22,13,134
GB,2020-04-08,Wednesday,,Workplaces,-87,-69,-68,-49,4,31
GB,2020-04-08,Wednesday,,Residential,18,27,27,39,3,12
GB,2020-04-09,Thursday,,Retail and Recreation,-97,-70,-70,-49,6,41
GB,2020-04-09,Thursday,,Grocery and Pharmacy,-82,-20,-20,-2,6,56
GB,2020-04-09,Thursday,,Parks,-90,-8,-11,87,24,679
GB,2020-04-09,Thursday,,Transit Stations,-93,-62,-62,-21,13,146
GB,2020-04-09,Thursday,,Workplaces,-85,-69,-68,-50,4,30
GB,2020-04-09,Thursday,,Residential,17,27,27,39,3,13
GB,2020-04-10,Friday,Good Friday,Retail and Recreation,-98,-78,-78,-61,4,28
GB,2020-04-10,Friday,Good Friday,Grocery and Pharmacy,-88,-34,-35,-14,6,52
GB,2020-04-10,Friday,Good Friday,Parks,-93,-11,-14,84,28,776
GB,2020-04-10,Friday,Good Friday,Transit Stations,-96,-69,-69,-23,10,112
GB,2020-04-10,Friday,Good Friday,Workplaces,-90,-80,-80,-61,4,23
GB,2020-04-10,Friday,Good Friday,Residential,23,32,31,42,3,11
GB,2020-04-11,Saturday,,Retail and Recreation,-96,-80,-81,-56,4,24
GB,2020-04-11,Saturday,,Grocery and Pharmacy,-72,-33,-33,-8,6,51
GB,2020-04-11,Saturday,,Parks,-89,-31,-34,54,22,514
GB,2020-04-11,Saturday,,Transit Stations,-95,-63,-63,-16,12,138
GB,2020-04-11,Saturday,,Workplaces,-70,-57,-56,-41,3,16
GB,2020-04-11,Saturday,,Residential,15,19,18,24,1,4
GB,2020-04-12,Sunday,,Retail and Recreation,-97,-90,-91,-75,3,14
GB,2020-04-12,Sunday,,Grocery and Pharmacy,-82,-65,-67,-27,7,89
GB,2020-04-12,Sunday,,Parks,-88,-30,-32,48,22,550
GB,2020-04-12,Sunday,,Transit Stations,-95,-64,-64,-25,13,172
GB,2020-04-12,Sunday,,Workplaces,-72,-58,-58,-42,4,19
GB,2020-04-12,Sunday,,Residential,13,16,16,20,1,3
GB,2020-04-13,Monday,Easter Monday,Retail and Recreation,-99,-79,-79,-64,4,23
GB,2020-04-13,Monday,Easter Monday,Grocery and Pharmacy,-91,-42,-42,-24,4,34
GB,2020-04-13,Monday,Easter Monday,Parks,-96,-18,-22,69,23,624
GB,2020-04-13,Monday,Easter Monday,Transit Stations,-97,-73,-74,-43,10,88
GB,2020-04-13,Monday,Easter Monday,Workplaces,-91,-83,-83,-65,4,18
GB,2020-04-13,Monday,Easter Monday,Residential,23,31,31,40,3,10
GB,2020-04-14,Tuesday,,Retail and Recreation,-97,-70,-70,-49,6,38
GB,2020-04-14,Tuesday,,Grocery and Pharmacy,-83,-26,-26,-9,6,47
GB,2020-04-14,Tuesday,,Parks,-91,-5,-8,131,22,675
GB,2020-04-14,Tuesday,,Transit Stations,-93,-62,-61,-21,13,141
GB,2020-04-14,Tuesday,,Workplaces,-85,-69,-68,-48,4,33
GB,2020-04-14,Tuesday,,Residential,17,26,26,38,3,13
GB,2020-04-15,Wednesday,,Retail and Recreation,-97,-71,-71,-52,6,36
GB,2020-04-15,Wednesday,,Grocery and Pharmacy,-83,-28,-27,-10,4,44
GB,2020-04-15,Wednesday,,Parks,-91,-1,-4,109,25,744
GB,2020-04-15,Wednesday,,Transit Stations,-93,-61,-61,-22,13,144
GB,2020-04-15,Wednesday,,Workplaces,-84,-68,-67,-47,4,31
GB,2020-04-15,Wednesday,,Residential,18,27,27,39,3,12
GB,2020-04-16,Thursday,,Retail and Recreation,-97,-72,-71,-54,6,34
