sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-03-25,Wednesday,,Workplaces,-70,-59,-60,-41,4,32
East Midlands,2020-03-25,Wednesday,,Residential,17,24,24,29,3,7
East Midlands,2020-03-26,Thursday,,Retail and Recreation,-83,-73,-73,-65,4,19
East Midlands,2020-03-26,Thursday,,Grocery and Pharmacy,-34,-25,-26,-15,4,20
East Midlands,2020-03-26,Thursday,,Parks,-60,-2,-4,141,19,1131
East Midlands,2020-03-26,Thursday,,Transit Stations,-76,-55,-55,-26,7,106
East Midlands,2020-03-26,Thursday,,Workplaces,-72,-61,-61,-43,4,30
East Midlands,2020-03-26,Thursday,,Residential,17,25,25,29,3,8
East Midlands,2020-03-27,Friday,,Retail and Recreation,-85,-75,-75,-64,4,20
East Midlands,2020-03-27,Friday,,Grocery and Pharmacy,-34,-26,-26,-15,5,23
East Midlands,2020-03-27,Friday,,Parks,-76,-19,-21,96,13,761
East Midlands,2020-03-27,Friday,,Transit Stations,-77,-58,-58,-32,10,113
East Midlands,2020-03-27,Friday,,Workplaces,-73,-61,-62,-43,4,27
East Midlands,2020-03-27,Friday,,Residential,19,26,26,30,3,6
East Midlands,2020-03-28,Saturday,,Retail and Recreation,-92,-84,-84,-78,4,13
East Midlands,2020-03-28,Saturday,,Grocery and Pharmacy,-49,-38,-38,-24,4,29
East Midlands,2020-03-28,Saturday,,Parks,-88,-52,-51,-26,15,178
East Midlands,2020-03-28,Saturday,,Transit Stations,-83,-65,-66,-37,9,94
East Midlands,2020-03-28,Saturday,,Workplaces,-65,-54,-55,-37,4,29
East Midlands,2020-03-28,Saturday,,Residential,16,18,18,20,1,2
East Midlands,2020-03-29,Sunday,,Retail and Recreation,-100,-86,-86,-80,3,14
East Midlands,2020-03-29,Sunday,,Grocery and Pharmacy,-54,-44,-45,-31,4,23
East Midlands,2020-03-29,Sunday,,Parks,-88,-53,-53,-29,12,159
East Midlands,2020-03-29,Sunday,,Transit Stations,-82,-65,-65,-37,12,130
East Midlands,2020-03-29,Sunday,,Workplaces,-64,-52,-53,-35,4,37
East Midlands,2020-03-29,Sunday,,Residential,15,15,15,16,0,0
East Midlands,2020-03-30,Monday,,Retail and Recreation,-85,-74,-74,-62,4,20
East Midlands,2020-03-30,Monday,,Grocery and Pharmacy,-39,-30,-30,-21,5,18
East Midlands,2020-03-30,Monday,,Parks,-77,-34,-37,49,16,438
East Midlands,2020-03-30,Monday,,Transit Stations,-78,-62,-62,-34,6,75
East Midlands,2020-03-30,Monday,,Workplaces,-74,-64,-65,-47,4,27
East Midlands,2020-03-30,Monday,,Residential,18,25,25,29,3,6
East Midlands,2020-03-31,Tuesday,,Retail and Recreation,-83,-73,-73,-61,4,23
East Midlands,2020-03-31,Tuesday,,Grocery and Pharmacy,-36,-27,-27,-15,5,22
